içermek-include
önemli-important
vazgeçmek-giveup
sinir-border
ilgili-related
kurulus  establishment
kabul  acceptance
egitici  educational
görünüs  aspect
sorun issue
lisans undergraduate
egitmen instructor
uyum accord
göndermek submit
devamlilik attendance
sunmak offer
imkan opportunities
etki influence
ilham inspiration
anmak mention
konu- lecture
becerikli able
hakkinda about
üstünde above
yurtdisina abroad
yokluk absence
dalgin absent
kabuletmek accept
kabuledilebilir acceptable
kaza accident
hesap account
basarmak achive
basari achivement
asit acid
karsida across
davranmak act
olay action
aktif active
aktivite activity
gerçek actual
aslinda actually
eklemek add
eklenti addition
ilave additional
adres address
sifat adjective
taktir admiration
hayranolmak admire
içerialmak admit
yetiskin adult
gelismis advanced
avantaj advantage
macera adventure
zarf adverb
ilanvermek advertise
reklamilani advertisement
tavsiye advice
danisman advise
mesele affair
etkilemek affect
gücüyetmek afford
korkmak afraid
sonra after
dahasonra afterwards
tekrar again
karsida against
yas age
önce ago
razi olmak agree
anlasma agreement
ileride ahead
amaç aim
hava air
uçak aircraft
alkol alcohol
yasayan alive
hepsi all
izinvermek allow
neredeyse almost
yalniz alone
boyunca along
alfabe alphabet
zaten already
ayrica also
eragmen although
arasina among
tutar amount
eglendirmek amuse
eglence amusement
eglenceli amusing
antik ancient
sinir anger
melek angle
sinirli angry
hayvan animal
rahatsizetmek annoy
rahatsizedici annoying
diger another
cevap answer
tasa anxiety
endiseli anxious
ayri apart
apartman apartment
gözükmek appaer
görünüs appaerance
elma apple
onaylamak approve
onay aproval
meydan area
tartisma arguement
kol arm
ordu army
etraf around
planlamak arrange
düzenleme arrangement
varis arrival
varmak arrive
sanat art
makale article
yapay artificial
utanmis ashamed
sormak ask
uykuda asleep
kurum association
saldiri attack
girisim attempt
ugrasmak attend
dikkat attention
davranis attitude
cezbetmek attract
çekici attractive
uzman kimse authority
sonbahar autumn
hazir available
avaraj average
kaçinmak avoid
uyanik awake
uzaga away
uygunsu awkward
liman harbor
manzara scenery
kibar polite
bilge wise
baðlantý contact
eski former
mirasalmak inherit
teslimalmak receive
servet fortune
zengin wealthy
intikam revenge
sosis sausage
yaygýn common
ayrý apart
sade plain
iþçantasý briefcase


